system:index,EVI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,class6,.geo
00000000000000000028_0,0.44314670194595557,0.745874,0.014637499999999998,0.019807500000000006,0.0412575,0.04205500000000001,0.2889225,0.16286250000000002,0.08456999999999998,321.48354326000003,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27892805409758,-3.5083157015751594]}"
00000000000000000029_0,0.3131892591918089,0.62136513,0.015187499999999993,0.023244999999999988,0.04950750000000001,0.05187249999999999,0.22212500000000002,0.16806,0.10766999999999999,323.7120923,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.277847511055256,-3.5085862523981866]}"
0000000000000000002a_0,0.4575379543326957,0.80890155,0.0084225,0.013399999999999995,0.03386,0.029212500000000002,0.27652,0.13671,0.06597999999999998,322.5841457,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27703767706541,-3.508042849109142]}"
0000000000000000002b_0,0.5211851248010559,0.81547,0.009440000000000004,0.014995000000000008,0.04070750000000001,0.033420000000000005,0.3287975,0.1425675,0.06807000000000002,322.28677796,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27730776059293,-3.508043058614959]}"
0000000000000000002c_0,0.44267838020069006,0.74373966,0.015847499999999987,0.020659999999999984,0.0445575,0.04230249999999999,0.28785,0.1524125,0.07981250000000001,324.04022222000003,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.2800085967596,-3.508045149368546]}"
0000000000000000002d_0,0.43094875697615415,0.7487299,0.014802499999999996,0.020384999999999986,0.041972499999999996,0.03919500000000001,0.27278,0.14380500000000002,0.07395499999999999,322.5157853,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.279738513070086,-3.5080449406453806]}"
0000000000000000002e_0,0.39928498064312246,0.6776425,0.020192500000000002,0.026709999999999984,0.05269750000000001,0.05288999999999999,0.275255,0.1614875,0.09064749999999999,324.20086916,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.279738928556256,-3.5075021654056924]}"
0000000000000000002f_0,0.35518567187423955,0.61771315,0.02291499999999999,0.029707499999999998,0.054842500000000016,0.062102500000000005,0.2627975,0.19666,0.11880750000000001,326.5832291,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.280279303202995,-3.507231195054434]}"
00000000000000000030_0,0.5280167292429068,0.7755918,0.01785500000000001,0.02244750000000001,0.047087500000000004,0.04419999999999999,0.349725,0.18876749999999998,0.0980725,323.93768162000003,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27649813606775,-3.5072282675849125]}"
00000000000000000031_0,0.43271380523747494,0.7474261,0.010374999999999995,0.015985,0.0412025,0.0413675,0.2862,0.1694075,0.08858500000000002,324.1564349,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27514855601248,-3.50614166894292]}"
